Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
DRD,DRDGOLD Limited,2.82,121663192.32,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/drd
DY,+ACI-Dycom Industries, Inc.+ACI-,103.97,3242616360,n/a,n/a,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/dy
DD+AF4-A,E.I. du Pont de Nemours and Company,86,0,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/dd+AF4-a
DD+AF4-B,E.I. du Pont de Nemours and Company,101.528,0,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/dd+AF4-b
EMN,Eastman Chemical Company,102.8,14675599500,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/emn
ECL,Ecolab Inc.,132.25,38134040721.5,n/a,n/a,Basic Industries,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/ecl
EGO,Eldorado Gold Corporation,0.9,714609612,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/ego
EMES,Emerge Energy Services LP,6.63,205570926.99,n/a,2013,Basic Industries,Mining +ACY- Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/emes
EMX,EMX Royalty Corporation,0.8801,70184693.1071,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/emx
EXK,Endeavour Silver Corporation,2.51,319995909.1,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/exk
UUUU,Energy Fuels Inc,1.615,120136206.56,n/a,n/a,Basic Industries,Mining +ACY- Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/uuuu
NPO,EnPro Industries,76.15,1626926702.45,n/a,n/a,Basic Industries,Metal Fabrications,https://www.nasdaq.com/symbol/npo
EGI,Entree Resources Ltd.,0.39,67946500.44,n/a,2017,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/egi
EVA,+ACI-Enviva Partners, LP+ACI-,25.65,675887913.9,n/a,2015,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/eva
EVGN,Evogene Ltd.,3.35,86264332.45,n/a,n/a,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/evgn
FMSA,Fairmount Santrol Holdings Inc.,4.45,999604866.15,n/a,2014,Basic Industries,Mining +ACY- Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/fmsa
FOE,Ferro Corporation,23.25,1962160221,n/a,n/a,Basic Industries,Paints/Coatings,https://www.nasdaq.com/symbol/foe
FBR,Fibria Celulose S.A.,19.39,10723494346.46,n/a,1997,Basic Industries,Paper,https://www.nasdaq.com/symbol/fbr
AG,First Majestic Silver Corp.,6.36,1055449339.44,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/ag
FSI,Flexible Solutions International Inc.,1.73,19934774.43,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/fsi
FTK,+ACI-Flotek Industries, Inc.+ACI-,6.23,353592870.4,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ftk
FLR,Fluor Corporation,54.85,7674266390.15,n/a,n/a,Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/flr
FMC,FMC Corporation,75.51,10154838966.66,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/fmc
FSM,Fortuna Silver Mines Inc.,5.15,822130462.45,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/fsm
FBHS,+ACI-Fortune Brands Home +ACY- Security, Inc.+ACI-,57.89,8568762714.68,n/a,n/a,Basic Industries,Homebuilding,https://www.nasdaq.com/symbol/fbhs
FNV,Franco+AC0-Nevada Corporation,69.33,12890549848.23,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/fnv
FCX,+ACI-Freeport+AC0-McMoran, Inc.+ACI-,17.52,25361788503.36,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/fcx
FF,FutureFuel Corp.,12.37,541084457.9,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ff
GFA,Gafisa SA,5.91,90400530.18,n/a,2007,Basic Industries,Homebuilding,https://www.nasdaq.com/symbol/gfa
GCP,GCP Applied Technologies Inc.,28.8,2072877753.6,n/a,2016,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/gcp
BGC,General Cable Corporation,29.6,1498574088.8,n/a,1997,Basic Industries,Telecommunications Equipment,https://www.nasdaq.com/symbol/bgc
GMO,+ACI-General Moly, Inc+ACI-,0.42,46690508.34,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/gmo
GEVO,+ACI-Gevo, Inc.+ACI-,0.5,11300424.5,n/a,2011,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/gevo
GLT,Glatfelter,20.41,891683815.75,n/a,n/a,Basic Industries,Paper,https://www.nasdaq.com/symbol/glt
GFI,Gold Fields Limited,4.1,3368284098.7,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/gfi
GORO,Gold Resource Corporation,4.7,268407054.8,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/goro
GSV,Gold Standard Ventures Corporation,1.66,418590764.26,n/a,n/a,Basic Industries,Mining +ACY- Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/gsv
GG,Goldcorp Inc.,13.9,12056113611.7,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/gg
AUMN,Golden Minerals Company,0.4626,42526683.3834,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aumn
GSS,+ACI-Golden Star Resources, Ltd+ACI-,0.6331,240945878.5825,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/gss
GV,Goldfield Corporation (The),3.95,100532848.3,n/a,n/a,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/gv
GRAM,Grana y Montero S.A.A.,2.51,331347002.58,n/a,2013,Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/gram
GVA,Granite Construction Incorporated,53.71,2142517036.28,n/a,n/a,Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/gva
GLDD,Great Lakes Dredge +ACY- Dock Corporation,4.35,268557159.3,n/a,n/a,Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/gldd
GPL,Great Panther Silver Limited,1.24,208794037.12,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/gpl
GPP,Green Plains Partners LP,17.55,558297949.95,n/a,2015,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/gpp
GPRE,+ACI-Green Plains, Inc.+ACI-,16.75,687652791.5,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/gpre
SIM,+ACI-Grupo Simec, S.A. de C.V.+ACI-,9.2601,1536279027.7671,n/a,1993,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/sim
GURE,+ACI-Gulf Resources, Inc.+ACI-,1.465,68567553.815,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/gure
FUL,H. B. Fuller Company,47.79,2414707504.56,n/a,n/a,Basic Industries,Home Furnishings,https://www.nasdaq.com/symbol/ful
HMY,Harmony Gold Mining Company Limited,2.33,1036219133.86,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/hmy
HL,Hecla Mining Company,3.65,1457800666.95,n/a,n/a,Basic Industries,Mining +ACY- Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/hl
HL+AF4-B,Hecla Mining Company,54.5,0,n/a,n/a,Basic Industries,Mining +ACY- Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/hl+AF4-b
HCCI,+ACI-Heritage+AC0-Crystal Clean, Inc.+ACI-,22.8,540536312.4,n/a,2008,Basic Industries,Miscellaneous,https://www.nasdaq.com/symbol/hcci
